"",".groups","time","HR1","HR2","Resp1","Resp2"
"2103","2103",15.307208,1.05834359828898,-1.14592358779898,0.673460741904554,-3.22807836055226
"2104","2104",15.308875,1.05834359828898,-0.908437521230039,0.678027051596721,-3.47991968238708
"2105","2105",15.310541,1.05834359828898,-0.908437521230039,0.669691235982332,-3.68251692498288
"2106","2106",15.312208,1.05834359828898,-0.908437521230039,0.630246546624103,-3.85825228513834
"2107","2107",15.313877,1.05834359828898,-0.908437521230039,0.551027198259018,-3.97461824416758
"2108","2108",15.315541,1.05834359828898,-0.908437521230039,0.445360423341566,-3.97867188417929
"2109","2109",15.317207,-0.264829815526811,-0.838710341678525,0.324046323681017,-3.79522272489753
"2110","2110",15.318875,-0.516862846729819,-0.753488233337787,0.191173562119467,-3.38421828506594
"2111","2111",15.320542,-0.516862846729819,-0.753488233337787,0.0614123265364149,-2.77864295967444
"2112","2112",15.322208,-0.516862846729819,-0.753488233337787,-0.0383274039447688,-2.0431382506719
"2113","2113",15.323876,-0.516862846729819,-0.753488233337787,-0.0500032642144823,-1.22801953310026
"2114","2114",15.325541,-0.516862846729819,-0.641938929056546,0.120440899590784,-0.457653794823594
"2115","2115",15.327207,-0.516862846729819,-0.246445941150327,0.444860570484792,0.164208336694164
"2116","2116",15.328876,-0.516862846729819,-0.246445941150327,0.766520745918335,0.613587858107387
"2117","2117",15.330542,-0.516862846729819,-0.246445941150327,1.01721770822419,0.881844821949
"2118","2118",15.332209,-0.516862846729819,-0.246445941150327,1.16274702278287,1.00458974538531
"2119","2119",15.333875,-0.528267654661274,-0.246445941150327,1.21903133979313,1.03184709943144
"2120","2120",15.335541,-0.53043999902917,-0.246445941150327,1.2147548692865,1.0045668488383
"2121","2121",15.337208,-0.53043999902917,-1.09724141132972,1.16348635218252,0.947843948834458
"2122","2122",15.338876,-0.53043999902917,-1.51628992649271,1.08763186695084,0.877164754152777
"2123","2123",15.340542,-0.53043999902917,-1.51628992649271,1.00794967574015,0.807605384063772
"2124","2124",15.342209,-0.53043999902917,-1.22533452165933,0.941880782599723,0.748326087983961
"2125","2125",15.343875,-0.53043999902917,2.12065263392447,0.89703488123847,0.698024208656011
"2126","2126",15.34554,-0.53043999902917,2.12065263392447,0.863520719611678,0.658159893532972
"2127","2127",15.347209,-0.53043999902917,2.12065263392447,0.823150852542792,0.64008989787147
"2128","2128",15.348876,-0.53043999902917,2.12065263392447,0.786981694310609,0.647764181770062
"2129","2129",15.350542,-0.44170627944711,2.12065263392447,0.760095953116124,0.675954858861313
"2130","2130",15.352207,-0.424804618574337,0.361014658704742,0.738038421869338,0.71133980767137
"2131","2131",15.353875,-0.424804618574337,-0.0517399280751945,0.719172169546693,0.742348118889723
"2132","2132",15.355541,-0.424804618574337,-0.0517399280751945,0.704331953321748,0.762274025761852
"2133","2133",15.357208,-0.424804618574337,-0.0517399280751945,0.692966759439934,0.771320675692933
"2134","2134",15.358876,-0.424804618574337,-0.0517399280751945,0.677645195363802,0.766688235432171
"2135","2135",15.360542,-0.424804618574337,-0.0322994656451889,0.65553519698353,0.752300779070977
"2136","2136",15.362207,-0.424804618574337,-0.0303767825477159,0.618025768366365,0.733880201265426
"2137","2137",15.363875,-0.424804618574337,-0.0303767825477159,0.562561259387887,0.708553291106666
"2138","2138",15.365543,-0.424804618574337,-0.0303767825477159,0.499408682559184,0.678759787782807
"2139","2139",15.367208,-0.483885837534614,-0.0303767825477159,0.452507927322727,0.639968145312916
"2140","2140",15.368876,-0.495139403050857,-0.168328629963229,0.435616775929643,0.599650247555445
"2141","2141",15.370541,-0.495139403050857,-0.196583827626647,0.440507032072542,0.573203852515389
"2142","2142",15.372208,-0.495139403050857,-0.196583827626647,0.453209448456065,0.55968483432575
"2143","2143",15.373875,-0.495139403050857,-0.196583827626647,0.469513519475847,0.554041412998428
"2144","2144",15.375543,-0.495139403050857,-0.196583827626647,0.48631112987991,0.552121364279278
"2145","2145",15.377208,-0.495139403050857,-0.201815582186946,0.492095504351541,0.541448991568584
"2146","2146",15.378875,-0.495139403050857,-0.206644894088759,0.435827297581429,0.512379956733484
"2147","2147",15.38054,-0.495139403050857,-0.206644894088759,0.319353236558423,0.452204026437586
"2148","2148",15.382208,-0.495139403050857,-0.206644894088759,0.190551576225824,0.346874067180071
"2149","2149",15.383876,-0.518294128941007,-0.206644894088759,0.0634475868762934,0.203695028647315
"2150","2150",15.385542,-0.522704552920083,-0.237574473912194,-0.0214962668247036,0.0478681957297909
"2151","2151",15.387208,-0.522704552920083,-0.266124855287672,-0.0254672958861912,-0.103749477306317
"2152","2152",15.388875,-0.522704552920083,-0.266124855287672,0.0664149915171678,-0.209870488483048
"2153","2153",15.39054,-0.522704552920083,-0.266124855287672,0.227827841772604,-0.279052439228993
