"","Resp1","Resp2","HR1","HR2","Resp1S","Resp2S","HR1S","HR2S"
"85",-0.2496383747228,-0.500667424850454,1.35053562246179,-0.617108702093513,-0.2496383747228,-0.500667424850454,1.35053562246179,-0.617108702093513
"86",-0.253881125116071,-0.54604946139959,1.35053562246179,-0.617108702093513,-0.253881125116071,-0.54604946139959,1.35053562246179,-0.617108702093513
"87",-0.267856399736243,-0.588059219974505,1.35053562246179,-0.617108702093513,-0.267856399736243,-0.588059219974505,1.35053562246179,-0.617108702093513
"88",-0.283024050812012,-0.624837428872333,1.35053562246179,-0.672921573487337,-0.283024050812012,-0.624837428872333,1.35053562246179,-0.672921573487337
"89",-0.301637228864037,-0.640102878888687,1.38769085443869,-0.674060611679048,-0.301637228864037,-0.640102878888687,1.38769085443869,-0.674060611679048
"90",-0.315161838793378,-0.640157459110237,1.42198799164814,-0.674060611679048,-0.315161838793378,-0.640157459110237,1.42198799164814,-0.674060611679048
"91",-0.337466455253116,-0.642493776126115,1.42198799164814,-0.674060611679048,-0.337466455253116,-0.642493776126115,1.42198799164814,-0.674060611679048
"92",-0.369441858681648,-0.674523860166283,1.42198799164814,-0.674060611679048,-0.369441858681648,-0.674523860166283,1.42198799164814,-0.674060611679048
"93",-0.360582302743047,-0.732884648099126,1.42198799164814,-0.188650289627136,-0.360582302743047,-0.732884648099126,1.42198799164814,-0.188650289627136
"94",-0.320999381887666,-0.798096317087319,1.42198799164814,-0.152114028827529,-0.320999381887666,-0.798096317087319,1.42198799164814,-0.152114028827529
"95",-0.245706212888522,-0.86835417564955,1.42198799164814,-0.152114028827529,-0.245706212888522,-0.86835417564955,1.42198799164814,-0.152114028827529
"96",-0.137464024877815,-0.922450263544155,1.42198799164814,-0.152114028827529,-0.137464024877815,-0.922450263544155,1.42198799164814,-0.152114028827529
"97",-0.0392291524193112,-0.933307120210924,1.42198799164814,0.232463817134944,-0.0392291524193112,-0.933307120210924,1.42198799164814,0.232463817134944
"98",0.0343301853479542,-0.813421663580569,1.42198799164814,1.12981212438072,0.0343301853479542,-0.813421663580569,1.42198799164814,1.12981212438072
"99",0.0873688886012296,-0.518903952770951,1.29073834102844,1.12981212438072,0.0873688886012296,-0.518903952770951,1.29073834102844,1.12981212438072
"100",0.113342635047678,-0.0706355299455061,1.1695848173795,1.04569815577138,0.113342635047678,-0.0706355299455061,1.1695848173795,1.04569815577138
"101",0.0851674451959008,0.443175587367651,1.1695848173795,0.42886238596957,0.0851674451959008,0.443175587367651,1.1695848173795,0.42886238596957
"102",-0.00767951125817196,0.887061998120233,1.1695848173795,0.42886238596957,-0.00767951125817196,0.887061998120233,1.1695848173795,0.42886238596957
